GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None,39.7000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q1 (Poorest),1.89999997615814
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Primary,40.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,2.70000004768372
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary or higher,35.2000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,Total,1.60000002384186
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q1 (Poorest),12.6000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,31.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Total,2.09999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Total,48.7000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Total,31.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Total,1.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q3,28.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),15.8000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary or higher,9.10000038146973
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Primary,47.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q2,54.5999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q3,37.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Rural,3
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary or higher,1.70000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None and primary education,8.30000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary education,9.10000038146973
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Q1 (Poorest),47.9000015258789
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),1.39999997615814
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,EDUCATIONLEVEL,Total,19.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,EDUCATIONLEVEL,Total,7.90000009536743
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,6.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None,11
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2015,WEALTHQUINTILE,Total,33
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Rural,2.09999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None and primary education,49.9000015258789
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Urban,23
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary or higher,12.1000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Primary,1.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Total,6.30000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q5 (Richest),16.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,22.3999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None,36.2000007629395
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,34.9000015258789
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q1 (Poorest),10.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Total,10.8000001907349
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Higher education,1.89999997615814
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Total,3
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1993,WEALTHQUINTILE,Total,43.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Total,43.5999984741211
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Total,24.3999996185303
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q1 (Poorest),6.40000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Higher education,2.29999995231628
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Rural,40
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Higher education,15.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q5 (Richest),2.59999990463257
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Total,26.7000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2014,EDUCATIONLEVEL,Total,1.79999995231628
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Total,1.70000004768372
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Q2,46
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Primary,9.39999961853027
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Total,33.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Total,1.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary or higher,2.29999995231628
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,WEALTHQUINTILE,Total,6.30000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary or higher,24.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1993,RESIDENCEAREATYPE,Total,5.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Total,3.29999995231628
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Total,36.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Total,35.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Urban,15.1000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,16.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q1 (Poorest),38.2000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,Total,19.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Rural,36.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q1 (Poorest),62.7999992370605
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None and primary education,12.3000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None,13.1999998092651
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Primary,4.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,Total,7.30000019073486
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary education,19.7000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q1 (Poorest),46.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q5 (Richest),4.19999980926514
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,WEALTHQUINTILE,Total,3.29999995231628
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q1 (Poorest),55.4000015258789
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,Total,33
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None and primary education,3.09999990463257
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q1 (Poorest),1.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2021,EDUCATIONLEVEL,Total,24.3999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1993,EDUCATIONLEVEL,Total,20.6000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Total,43.5999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None,3.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Primary,8.19999980926514
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q2,52.4000015258789
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q2,29.2999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Total,36.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary or higher,2.20000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,EDUCATIONLEVEL,Total,20.6000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q1 (Poorest),36.9000015258789
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Higher education,9.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary education,2.20000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Rural,27
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Total,6.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1993,RESIDENCEAREATYPE,Total,20.6000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Total,11.6999998092651
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Total,24.2000007629395
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None,54
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Total,31.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Higher education,9.30000019073486
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q1 (Poorest),3.29999995231628
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Primary,8.89999961853027
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None,7.40000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q1 (Poorest),53.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary or higher,21.2999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary or higher,6
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary education,27.6000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q5 (Richest),20.2999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary or higher,15.3000001907349
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary or higher,12
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Primary,5.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Total,2.09999990463257
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary or higher,9
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q3,9.60000038146973
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Higher education,8.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Urban,9.10000038146973
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Rural,47.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Total,26.7000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Total,10.1999998092651
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,8.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary education,2.70000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,18.3999996185303
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Higher education,13.6999998092651
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2021,WEALTHQUINTILE,Total,1.70000004768372
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary or higher,18.2000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,3.40000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2014,RESIDENCEAREATYPE,Total,33.5999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Primary,2
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Primary,2.40000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,23.6000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None,14.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q2,11.1000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Total,35.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,35.0999984741211
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Total,24.2000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Total,10.8000001907349
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Urban,23
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,9.89999961853027
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Total,42.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary education,37.2999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q5 (Richest),13.3999996185303
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None,54.5999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,2.70000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q4,10.3000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2021,EDUCATIONLEVEL,Total,11.6000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Total,33.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,50.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q3,27.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),9.19999980926514
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None and primary education,49.2999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2021,EDUCATIONLEVEL,Total,1.70000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q1 (Poorest),33.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Higher education,4.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1993,WEALTHQUINTILE,Total,20.6000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Total,2.09999990463257
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Total,24.2000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,WEALTHQUINTILE,Total,33.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary education,23.3999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,WEALTHQUINTILE,Total,7.30000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,9.19999980926514
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Rural,1.70000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,10.6999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2014,WEALTHQUINTILE,Total,33.5999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Rural,41.2999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q5 (Richest),13.8999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,WEALTHQUINTILE,Total,20.6000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary education,16.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Total,11.6999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None and primary education,46.2000007629395
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Primary,31.7000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,EDUCATIONLEVEL,Total,1.60000002384186
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q4,32.2000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q4,14.3000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary or higher,7
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Total,24.3999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Urban,10.5
